Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
59441-80081:Breanna Stewart,59441-80081,F,Breanna,Breanna Stewart,Stewart,48.22499847,4,8900,CON@SEA,SEA,CON,,,,,,F
59441-80238:Jonquel Jones,59441-80238,F,Jonquel,Jonquel Jones,Jones,40.36000061,5,8400,CON@SEA,CON,SEA,,,,,,F
59441-80215:Elena Delle Donne,59441-80215,F,Elena,Elena Delle Donne,Delle Donne,0,1,8200,WAS@IND,WAS,IND,O,Back,,,,F
59441-80181:Tina Charles,59441-80181,F,Tina,Tina Charles,Charles,39.17499924,4,7900,WAS@IND,WAS,IND,,,,,,F
59441-80063:Candace Parker,59441-80063,F,Candace,Candace Parker,Parker,36.59999847,1,7800,ATL@CHI,CHI,ATL,GTD,Ankle,,,,F
59441-83063:DeWanna Bonner,59441-83063,G,DeWanna,DeWanna Bonner,Bonner,35.52000122,5,7700,CON@SEA,CON,SEA,,,,,,G
59441-80078:Jewell Loyd,59441-80078,G,Jewell,Jewell Loyd,Loyd,40.57500076,4,7300,CON@SEA,SEA,CON,,,,,,G
59441-135889:Ruthy Hebard,59441-135889,F,Ruthy,Ruthy Hebard,Hebard,29.53333282,3,7000,ATL@CHI,CHI,ATL,,,,,,F
59441-80245:Courtney Williams,59441-80245,G,Courtney,Courtney Williams,Williams,35.53333282,3,6900,ATL@CHI,ATL,CHI,,,,,,G
59441-80269:Kahleah Copper,59441-80269,G,Kahleah,Kahleah Copper,Copper,28.36666616,3,6800,ATL@CHI,CHI,ATL,,,,,,G
59441-80270:Courtney Vandersloot,59441-80270,G,Courtney,Courtney Vandersloot,Vandersloot,31.26666768,3,6700,ATL@CHI,CHI,ATL,,,,,,G
59441-103401:Teaira McCowan,59441-103401,F,Teaira,Teaira McCowan,McCowan,28.3,5,6700,WAS@IND,IND,WAS,,,,,,F
59441-80276:Jessica Breland,59441-80276,F,Jessica,Jessica Breland,Breland,24.18000031,5,6500,WAS@IND,IND,WAS,,,,,,F
59441-83008:Myisha Hines-Allen,59441-83008,F,Myisha,Myisha Hines-Allen,Hines-Allen,12.10000038,1,6400,WAS@IND,WAS,IND,,,,,,F
59441-103395:Natisha Hiedeman,59441-103395,G,Natisha,Natisha Hiedeman,Hiedeman,27.03999939,5,6300,CON@SEA,CON,SEA,,,,,,G
59441-135896:Chennedy Carter,59441-135896,G,Chennedy,Chennedy Carter,Carter,26.73333232,3,6200,ATL@CHI,ATL,CHI,,,,,,G
59441-80244:Jasmine Thomas,59441-80244,G,Jasmine,Jasmine Thomas,Thomas,22.03333282,3,6100,CON@SEA,CON,SEA,,,,,,G
59441-83017:Kelsey Mitchell,59441-83017,G,Kelsey,Kelsey Mitchell,Mitchell,25.73999939,5,6000,WAS@IND,IND,WAS,,,,,,G
59441-83034:Monique Billings,59441-83034,F,Monique,Monique Billings,Billings,26.5,3,5700,ATL@CHI,ATL,CHI,,,,,,F
59441-83007:Ariel Atkins,59441-83007,G,Ariel,Ariel Atkins,Atkins,26.27499962,4,5600,WAS@IND,WAS,IND,,,,,,G
59441-80272:Astou Ndour,59441-80272,F,Astou,Astou Ndour,Ndour,25.63333384,3,5500,ATL@CHI,CHI,ATL,,,,,,F
59441-80212:Natasha Cloud,59441-80212,G,Natasha,Natasha Cloud,Cloud,22.125,4,5500,WAS@IND,WAS,IND,GTD,Ankle,,,,G
59441-80161:Tiffany Hayes,59441-80161,G,Tiffany,Tiffany Hayes,Hayes,21.79999924,2,5400,ATL@CHI,ATL,CHI,,,,,,G
59441-80227:Brionna Jones,59441-80227,F,Brionna,Brionna Jones,Jones,24.76000061,5,5400,CON@SEA,CON,SEA,,,,,,F
59441-80101:Danielle Robinson,59441-80101,G,Danielle,Danielle Robinson,Robinson,23.78000031,5,5300,WAS@IND,IND,WAS,,,,,,G
59441-80115:Candice Dupree,59441-80115,F,Candice,Candice Dupree,Dupree,17.52499962,4,5300,CON@SEA,SEA,CON,,,,,,F
59441-80278:Cheyenne Parker,59441-80278,F,Cheyenne,Cheyenne Parker,Parker,27.17999878,20,5200,ATL@CHI,ATL,CHI,O,Not injury related,,,,F
59441-80075:Sue Bird,59441-80075,G,Sue,Sue Bird,Bird,24.20000076,4,5200,CON@SEA,SEA,CON,,,,,,G
59441-83013:Diamond DeShields,59441-83013,G,Diamond,Diamond DeShields,DeShields,24.16666667,3,5100,ATL@CHI,CHI,ATL,,,,,,G
59441-103434:Crystal Bradford,59441-103434,G,Crystal,Crystal Bradford,Bradford,23.13333384,3,5000,ATL@CHI,ATL,CHI,,,,,,G
59441-83031:Jordin Canada,59441-83031,G,Jordin,Jordin Canada,Canada,18.67499924,4,4900,CON@SEA,SEA,CON,,,,,,G
59441-80111:Erica McCall,59441-80111,F,Erica,Erica McCall,McCall,21.75,4,4900,WAS@IND,WAS,IND,,,,,,F
59441-80275:Allie Quigley,59441-80275,G,Allie,Allie Quigley,Quigley,12.89999962,1,4800,ATL@CHI,CHI,ATL,O,Hamstring,,,,G
59441-83020:Azura Stevens,59441-83020,F,Azura,Azura Stevens,Stevens,15,1,4400,ATL@CHI,CHI,ATL,,,,,,F
59441-80157:Elizabeth Williams,59441-80157,F,Elizabeth,Elizabeth Williams,Williams,17.76666641,3,4300,ATL@CHI,ATL,CHI,,,,,,F
59441-80091:Leilani Mitchell,59441-80091,G,Leilani,Leilani Mitchell,Mitchell,11.92500019,4,4200,WAS@IND,WAS,IND,,,,,,G
59441-80248:Theresa Plaisance,59441-80248,F,Theresa,Theresa Plaisance,Plaisance,16.97500038,4,4200,WAS@IND,WAS,IND,,,,,,F
59441-80044:Odyssey Sims,59441-80044,G,Odyssey,Odyssey Sims,Sims,14.69999949,3,4000,ATL@CHI,ATL,CHI,,,,,,G
59441-80059:Jantel Lavender,59441-80059,F,Jantel,Jantel Lavender,Lavender,15.64999962,4,4000,WAS@IND,IND,WAS,GTD,Foot,,,,F
59441-80220:Tianna Hawkins,59441-80220,F,Tianna,Tianna Hawkins,Hawkins,15.33333333,3,4000,ATL@CHI,ATL,CHI,,,,,,F
59441-80108:Briann January,59441-80108,G,Briann,Briann January,January,15.66666667,3,3900,CON@SEA,CON,SEA,O,Ankle,,,,G
59441-103409:Ezi Magbegor,59441-103409,F,Ezi,Ezi Magbegor,Magbegor,15.82499981,4,3900,CON@SEA,SEA,CON,,,,,,F
59441-80109:Tiffany Mitchell,59441-80109,G,Tiffany,Tiffany Mitchell,Mitchell,14.7,5,3800,WAS@IND,IND,WAS,,,,,,G
59441-103416:Katie Lou Samuelson,59441-103416,G,Katie Lou,Katie Lou Samuelson,Samuelson,20.64999962,2,3800,CON@SEA,SEA,CON,O,Suspension,,,,G
59441-80106:Stephanie Talbot,59441-80106,G,Stephanie,Stephanie Talbot,Talbot,12.22500038,4,3700,CON@SEA,SEA,CON,,,,,,G
59441-83004:Mercedes Russell,59441-83004,F,Mercedes,Mercedes Russell,Russell,10.35000038,2,3600,CON@SEA,SEA,CON,,,,,,F
59441-119553:Bernadett Hatar,59441-119553,F,Bernadett,Bernadett Hatar,Hatar,11.36666616,3,3500,WAS@IND,IND,WAS,O,Ankle,,,,F
59441-80273:Stefanie Dolson,59441-80273,F,Stefanie,Stefanie Dolson,Dolson,5.800000191,1,3500,ATL@CHI,CHI,ATL,O,Suspension,,,,F
59441-83018:Victoria Vivians,59441-83018,G,Victoria,Victoria Vivians,Vivians,8.940000153,5,3400,WAS@IND,IND,WAS,,,,,,G
59441-80070:Sydney Wiese,59441-80070,G,Sydney,Sydney Wiese,Wiese,9.050000191,4,3300,WAS@IND,WAS,IND,,,,,,G
59441-135892:Beatrice Mompremier,59441-135892,F,Beatrice,Beatrice Mompremier,Mompremier,9.9,5,3300,CON@SEA,CON,SEA,,,,,,F
59441-135884:Lauren Cox,59441-135884,F,Lauren,Lauren Cox,Cox,3.099999905,1,3200,WAS@IND,IND,WAS,,,,,,F
59441-135891:Kaila Charles,59441-135891,G,Kaila,Kaila Charles,Charles,9.359999847,5,3200,CON@SEA,CON,SEA,,,,,,G
59441-148575:DiJonai Carrington,59441-148575,G,DiJonai,DiJonai Carrington,Carrington,6.8,5,3200,CON@SEA,CON,SEA,,,,,,G
59441-80188:Shavonte Zellous,59441-80188,G,Shavonte,Shavonte Zellous,Zellous,8.699999809,4,3100,WAS@IND,WAS,IND,,,,,,G
59441-148561:Stephanie Watts,59441-148561,G,Stephanie,Stephanie Watts,Watts,8.233333588,3,3100,ATL@CHI,CHI,ATL,,,,,,G
59441-103405:Kennedy Burke,59441-103405,G,Kennedy,Kennedy Burke,Burke,8.133333206,3,3100,CON@SEA,SEA,CON,,,,,,G
59441-80173:Epiphanny Prince,59441-80173,G,Epiphanny,Epiphanny Prince,Prince,9.5,1,3000,CON@SEA,SEA,CON,,,,,,G
59441-80186:Lindsay Allen,59441-80186,G,Lindsay,Lindsay Allen,Allen,6.220000076,5,3000,WAS@IND,IND,WAS,,,,,,G
59441-148550:Aari McDonald,59441-148550,G,Aari,Aari McDonald,McDonald,5.949999809,2,3000,ATL@CHI,ATL,CHI,,,,,,G
59441-148556:Natasha Mack,59441-148556,F,Natasha,Natasha Mack,Mack,5.800000191,1,3000,ATL@CHI,CHI,ATL,,,,,,F
59441-135890:Stella Johnson,59441-135890,G,Stella,Stella Johnson,Johnson,4.849999905,2,3000,WAS@IND,WAS,IND,,,,,,G
59441-135894:Mikiah Harrigan,59441-135894,F,Mikiah,Mikiah Harrigan,Harrigan,0,1,3000,CON@SEA,SEA,CON,,,,,,F
59441-148567:Aaliyah Wilson,59441-148567,G,Aaliyah,Aaliyah Wilson,Wilson,,,3000,WAS@IND,IND,WAS,O,Foot,,,,G
59441-80221:Shatori Walker-Kimbrough,59441-80221,G,Shatori,Shatori Walker-Kimbrough,Walker-Kimbrough,14.94285656,21,3000,CON@SEA,CON,SEA,,,,,,G
59441-80228:Shekinna Stricklen,59441-80228,G,Shekinna,Shekinna Stricklen,Stricklen,4.5,2,3000,ATL@CHI,ATL,CHI,,,,,,G
59441-103399:Kalani Brown,59441-103399,F,Kalani,Kalani Brown,Brown,3.200000048,1,3000,ATL@CHI,ATL,CHI,,,,,,F
59441-80235:Alyssa Thomas,59441-80235,F,Alyssa,Alyssa Thomas,Thomas,0,1,3000,CON@SEA,CON,SEA,O,Achilles,,,,F
59441-148081:Stephanie Jones,59441-148081,F,Stephanie,Stephanie Jones,Jones,6.133333206,3,3000,CON@SEA,CON,SEA,,,,,,F
59441-149361:Kysre Gondrezick,59441-149361,G,Kysre,Kysre Gondrezick,Gondrezick,9.119999695,5,3000,WAS@IND,IND,WAS,,,,,,G
59441-149368:Shyla Heal,59441-149368,G,Shyla,Shyla Heal,Heal,-1,1,3000,ATL@CHI,CHI,ATL,,,,,,G
59441-149372:Kiana Williams,59441-149372,G,Kiana,Kiana Williams,Williams,1.5,2,3000,CON@SEA,SEA,CON,,,,,,G
59441-103422:Kiara Leslie,59441-103422,G,Kiara,Kiara Leslie,Leslie,3.799999873,3,3000,WAS@IND,WAS,IND,,,,,,G
