Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
59047-9642:Russell Westbrook,59047-9642,PG,Russell,Russell Westbrook,Westbrook,54.05384615,65,13000,WAS@BOS,WAS,BOS,,,,,,PG
59047-59358:Domantas Sabonis,59047-59358,PF,Domantas,Domantas Sabonis,Sabonis,45.89841425,63,10300,CHA@IND,IND,CHA,GTD,Quadriceps,,,,PF
59047-80808:Jayson Tatum,59047-80808,PF,Jayson,Jayson Tatum,Tatum,44.11846079,65,10000,WAS@BOS,BOS,WAS,,,,,,PF
59047-15595:Bradley Beal,59047-15595,SG,Bradley,Bradley Beal,Beal,44.87704918,61,10000,WAS@BOS,WAS,BOS,,,,,,SG
59047-23798:Caris LeVert,59047-23798,SG,Caris,Caris LeVert,LeVert,37.41063934,47,9200,CHA@IND,IND,CHA,O,Covid-19,,,,SG
59047-14507:Kemba Walker,59047-14507,PG,Kemba,Kemba Walker,Walker,33.55813953,43,8200,WAS@BOS,BOS,WAS,,,,,,PG
59047-16359:Malcolm Brogdon,59047-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,37.6660723,56,7300,CHA@IND,IND,CHA,GTD,Hamstring,,,,PG
59047-110352:P.J. Washington,59047-110352,PF,P.J.,P.J. Washington,Washington,29.42343712,64,7200,CHA@IND,CHA,IND,,,,,,PF
59047-42677:Terry Rozier,59047-42677,SG,Terry,Terry Rozier,Rozier,35.07101308,69,7200,CHA@IND,CHA,IND,,,,,,SG
59047-145485:LaMelo Ball,59047-145485,PG,LaMelo,LaMelo Ball,Ball,35.03725538,51,7200,CHA@IND,CHA,IND,,,,,,PG
59047-23096:Evan Fournier,59047-23096,SF,Evan,Evan Fournier,Fournier,28.89523751,42,7100,WAS@BOS,BOS,WAS,,,,,,SF
59047-12366:Gordon Hayward,59047-12366,SF,Gordon,Gordon Hayward,Hayward,35.25227217,44,7000,CHA@IND,CHA,IND,O,Foot,,,,SF
59047-18393:T.J. McConnell,59047-18393,PG,T.J.,T.J. McConnell,McConnell,27.6115935,69,6900,CHA@IND,IND,CHA,,,,,,PG
59047-84678:Miles Bridges,59047-84678,SF,Miles,Miles Bridges,Bridges,26.04393976,66,6800,CHA@IND,CHA,IND,,,,,,SF
