Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
59220-82992:A'ja Wilson,59220-82992,F,A'ja,A'ja Wilson,Wilson,42.34999847,2,8700,LA@LV,LV,LA,,,,,,F
59220-135878:Sabrina Ionescu,59220-135878,G,Sabrina,Sabrina Ionescu,Ionescu,40.56666565,3,8600,NY@WAS,NY,WAS,,,,,,G
59220-80215:Elena Delle Donne,59220-80215,F,Elena,Elena Delle Donne,Delle Donne,0,1,8200,NY@WAS,WAS,NY,O,Back,,,,F
59220-83063:DeWanna Bonner,59220-83063,G,DeWanna,DeWanna Bonner,Bonner,38.26666768,3,8000,CON@PHO,CON,PHO,,,,,,G
59220-80238:Jonquel Jones,59220-80238,F,Jonquel,Jonquel Jones,Jones,38.30000051,3,7900,CON@PHO,CON,PHO,,,,,,F
59220-80202:Natasha Howard,59220-80202,F,Natasha,Natasha Howard,Howard,24.50909146,22,7700,NY@WAS,NY,WAS,O,Not injury related,,,,F
59220-80099:Brittney Griner,59220-80099,F,Brittney,Brittney Griner,Griner,34.73333232,3,7600,CON@PHO,PHO,CON,,,,,,F
59220-83062:Liz Cambage,59220-83062,F,Liz,Liz Cambage,Cambage,33.04999924,2,7500,LA@LV,LV,LA,,,,,,F
59220-83008:Myisha Hines-Allen,59220-83008,F,Myisha,Myisha Hines-Allen,Hines-Allen,34.38636364,22,7100,NY@WAS,WAS,NY,O,Suspension,,,,F
59220-80245:Courtney Williams,59220-80245,G,Courtney,Courtney Williams,Williams,39.20000076,2,7000,ATL@IND,ATL,IND,,,,,,G
59220-103419:Brianna Turner,59220-103419,F,Brianna,Brianna Turner,Turner,34.13333384,3,7000,CON@PHO,PHO,CON,,,,,,F
59220-80181:Tina Charles,59220-80181,F,Tina,Tina Charles,Charles,30.54999924,2,6900,NY@WAS,WAS,NY,,,,,,F
