,Id,Nickname,FPPG,Salary,Injury Indicator,Batting Order,Position,Mscore,Score
430,59436-83188,Kelvin Gutierrez,5.7624998089999995,2000,nan,1.0,3B,12.0,51.862498281
433,59436-79112,Yu Chang,3.266666554,2000,nan,1.0,3B,14.0,34.299998816999995
438,59436-79174,Jacob Nottingham,6.655555725,2000,nan,1.0,C/1B,11.0,54.90833473125
444,59436-38247,Hanser Alberto,3.802777608,2000,nan,1.0,2B,12.0,34.224998472
459,59436-79279,Andrew Stevenson,4.613157975,2000,nan,1.0,OF,12.0,41.518421775
463,59436-38326,Nomar Mazara,6.813636086,2000,nan,1.0,OF,10.0,51.102270645000004
482,59436-13917,Juan Lagares,6.082353031,2000,nan,1.0,OF,12.0,54.741177279
483,59436-81511,Kyle Farmer,4.841860393999999,2000,nan,1.0,2B,10.0,36.313952955
487,59436-118408,Yoshi Tsutsugo,4.216128933999999,2000,nan,1.0,3B,10.0,31.620967004999994
492,59436-14038,Khris Davis,3.307142803,2000,nan,1.0,OF,11.0,27.283928124750002
503,59436-102341,DJ Peters,4.153333282,2000,nan,1.0,OF,10.0,31.149999615000002
