Player ID + Player Name,Id,Position_New,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Position,Mscore
59236-81980:Phillip Evans,59236-81980,3B,Phillip,Phillip Evans,Evans,7.806250095,32,2000,PIT@ATL,PIT,ATL,IL,Hamstring,,,0,3B/UTIL,3B,7
59236-135228:Jack Kruger,59236-135228,C,Jack,Jack Kruger,Kruger,0,1,2000,HOU@TEX,TEX,HOU,,,,,0,C/1B/UTIL,C/1B,12
59236-135242:P.J. Higgins,59236-135242,C,P.J.,P.J. Higgins,Higgins,0,2,2000,CHC@STL,CHC,STL,,,,,0,C/1B/UTIL,C/1B,10
59236-102485:Kyle Isbel,59236-102485,OF,Kyle,Kyle Isbel,Isbel,5.958333333,12,2000,DET@KC,KC,DET,,,,,0,OF/UTIL,OF,13
59236-102497:Ronnie Dawson,59236-102497,OF,Ronnie,Ronnie Dawson,Dawson,4.133333206,3,2000,HOU@TEX,HOU,TEX,,,,,0,OF/UTIL,OF,12
59236-116841:Sam Haggerty,59236-116841,1B/OF,Sam,Sam Haggerty,Haggerty,5.503125191,32,2000,SEA@SD,SEA,SD,,,,,1,C/1B/OF/UTIL,C/1B,9
59236-135276:Patrick Mazeika,59236-135276,C,Patrick,Patrick Mazeika,Mazeika,4.600000109,7,2000,NYM@MIA,NYM,MIA,,,,,0,C/1B/UTIL,C/1B,10
59236-135277:Johneshwy Fargas,59236-135277,OF,Johneshwy,Johneshwy Fargas,Fargas,4.166666667,3,2000,NYM@MIA,NYM,MIA,,,,,1,OF/UTIL,OF,10
59236-102513:Mario Feliciano,59236-102513,C,Mario,Mario Feliciano,Feliciano,6.199999809,1,2000,MIL@CIN,MIL,CIN,,,,,0,C/1B/UTIL,C/1B,13
59236-135282:Josh Palacios,59236-135282,OF,Josh,Josh Palacios,Palacios,7.240000153,10,2000,TB@TOR,TOR,TB,IL,Hand,,,0,OF/UTIL,OF,15
59236-135284:Riley Adams,59236-135284,C,Riley,Riley Adams,Adams,,,2000,TB@TOR,TOR,TB,,,,,0,C/1B/UTIL,C/1B,15
59236-135290:John Nogowski,59236-135290,1B,John,John Nogowski,Nogowski,1.026666641,15,2000,CHC@STL,STL,CHC,,,,,0,C/1B/UTIL,C/1B,11
59236-116865:Ryan McBroom,59236-116865,1B,Ryan,Ryan McBroom,McBroom,1.839999962,5,2000,DET@KC,KC,DET,,,,,0,C/1B/UTIL,C/1B,13
59236-135305:Tucupita Marcano,59236-135305,3B,Tucupita,Tucupita Marcano,Marcano,3.483333376,18,2000,SEA@SD,SD,SEA,,,,,0,3B/UTIL,3B,9
