Player ID + Player Name,Id,Position_new,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Position,Mscore
59367-38004:Austin Hedges,59367-38004,C,Austin,Austin Hedges,Hedges,4.25,22,2100,CLE@DET,CLE,DET,,,,,1,C/1B/UTIL,C/1B,14
59367-104629:Jack Mayfield,59367-104629,SS,Jack,Jack Mayfield,Mayfield,1.083333333,6,2100,SEA@OAK,SEA,OAK,,,,,,SS/UTIL,SS,16
59367-60641:Nick Gordon,59367-60641,2B,Nick,Nick Gordon,Gordon,18,1,2100,BAL@MIN,MIN,BAL,,,,,,2B/UTIL,2B,11
59367-79104:Zack Collins,59367-79104,C,Zack,Zack Collins,Collins,6.199999723,22,2100,STL@CWS,CWS,STL,,,,,,C/1B/UTIL,C/1B,12
59367-79173:Corey Ray,59367-79173,OF,Corey,Corey Ray,Ray,6.199999809,1,2100,SD@MIL,MIL,SD,,,,,,OF/UTIL,OF,10
59367-79247:Edmundo Sosa,59367-79247,2B,Edmundo,Edmundo Sosa,Sosa,4.957142784,21,2100,STL@CWS,STL,CWS,,,,,1,2B/UTIL,2B,14
59367-38326:Nomar Mazara,59367-38326,OF,Nomar,Nomar Mazara,Mazara,6.685713995,21,2100,CLE@DET,DET,CLE,,,,,,OF/UTIL,OF,15
59367-101833:Luis Barrera,59367-101833,OF,Luis,Luis Barrera,Barrera,0.75,4,2100,SEA@OAK,OAK,SEA,,,,,1,OF/UTIL,OF,14
59367-53757:Rob Refsnyder,59367-53757,2B,Rob,Rob Refsnyder,Refsnyder,8.700000339,9,2100,BAL@MIN,MIN,BAL,,,,,,2B/UTIL,2B,11
59367-12931:Wil Myers,59367-12931,OF,Wil,Wil Myers,Myers,8.472222222,36,2100,SD@MIL,SD,MIL,,,,,1,OF/UTIL,OF,12
59367-17171:James McCann,59367-17171,C,James,James McCann,McCann,4.515151515,33,2100,COL@NYM,NYM,COL,,,,,1,C/1B/UTIL,C/1B,9
59367-13152:Matt Carpenter,59367-13152,1B/3B,Matt,Matt Carpenter,Carpenter,3.746341612,41,2100,STL@CWS,STL,CWS,,,,,1,C/1B/3B/UTIL,3B,14
59367-68471:Tony Kemp,59367-68471,2B,Tony,Tony Kemp,Kemp,5.493333435,30,2100,SEA@OAK,OAK,SEA,,,,,,2B/UTIL,2B,14
59367-6047:Cameron Maybin,59367-6047,OF,Cameron,Cameron Maybin,Maybin,2.25,4,2100,COL@NYM,NYM,COL,,,,,1,OF/UTIL,OF,9
59367-52161:Rio Ruiz,59367-52161,2B/3B,Rio,Rio Ruiz,Ruiz,5.5,32,2100,BAL@MIN,BAL,MIN,,,,,,2B/3B/UTIL,2B,13
59367-80848:Victor Caratini,59367-80848,C,Victor,Victor Caratini,Caratini,7.824242794,33,2100,SD@MIL,SD,MIL,,,,,,C/1B/UTIL,C/1B,12
59367-52179:J.P. Crawford,59367-52179,SS,J.P.,J.P. Crawford,Crawford,6.556521872,46,2100,SEA@OAK,SEA,OAK,,,,,1,SS/UTIL,SS,16
59367-102362:Trevor Larnach,59367-102362,OF,Trevor,Trevor Larnach,Larnach,6.585714068,14,2100,BAL@MIN,MIN,BAL,,,,,1,OF/UTIL,OF,11
59367-102411:Andrew Knizner,59367-102411,C,Andrew,Andrew Knizner,Knizner,3.97083346,24,2000,STL@CWS,STL,CWS,,,,,,C/1B/UTIL,C/1B,14
59367-79896:Luis Torrens,59367-79896,C,Luis,Luis Torrens,Torrens,4.806896341,29,2000,SEA@OAK,SEA,OAK,,,,,,C/1B/UTIL,C/1B,16
59367-13368:Billy Hamilton,59367-13368,OF,Billy,Billy Hamilton,Hamilton,4.603999939,25,2000,STL@CWS,CWS,STL,,,,,,OF/UTIL,OF,12
59367-148547:Scott Hurst,59367-148547,OF,Scott,Scott Hurst,Hurst,0,7,2000,STL@CWS,STL,CWS,IL,Undisclosed,,,,OF/UTIL,OF,14
